2D Navier Stokes Equation Using Finite Volume Method
GRID Size:	 32 	 X 32 
Time Step for the simulation: 0.010986
Reynolds number of the simulation:100.000000
Iteration no:	198	 Ures: 	7.2513580360e-04	 Vres: 	6.1774403987e-04	 
Iteration no:	199	 Ures: 	7.2103245285e-04	 Vres: 	6.1429676894e-04	 
Iteration no:	200	 Ures: 	7.1681849608e-04	 Vres: 	6.1073081143e-04	 
Iteration no:	201	 Ures: 	7.1248690152e-04	 Vres: 	6.0707380941e-04	 
Iteration no:	202	 Ures: 	7.0804547663e-04	 Vres: 	6.0336288099e-04	 
Iteration no:	203	 Ures: 	7.0350278049e-04	 Vres: 	5.9964634038e-04	 
Iteration no:	204	 Ures: 	6.9887680320e-04	 Vres: 	5.9596150546e-04	 
Iteration no:	205	 Ures: 	6.9418247332e-04	 Vres: 	5.9233787915e-04	 
Iteration no:	206	 Ures: 	6.8944180429e-04	 Vres: 	5.8878370043e-04	 
Iteration no:	207	 Ures: 	6.8467516447e-04	 Vres: 	5.8529684988e-04	 
Iteration no:	208	 Ures: 	6.7991140059e-04	 Vres: 	5.8185950742e-04	 
Iteration no:	209	 Ures: 	6.7517870110e-04	 Vres: 	5.7845181747e-04	 
Iteration no:	210	 Ures: 	6.7051073662e-04	 Vres: 	5.7504867532e-04	 
Iteration no:	211	 Ures: 	6.6593538030e-04	 Vres: 	5.7163195425e-04	 
Iteration no:	212	 Ures: 	6.6147830710e-04	 Vres: 	5.6818708317e-04	 
Iteration no:	213	 Ures: 	6.5715297906e-04	 Vres: 	5.6471254770e-04	 
Iteration no:	214	 Ures: 	6.5296552026e-04	 Vres: 	5.6121455862e-04	 
Iteration no:	215	 Ures: 	6.4890857514e-04	 Vres: 	5.5771188487e-04	 
Iteration no:	216	 Ures: 	6.4496865443e-04	 Vres: 	5.5422710804e-04	 
Iteration no:	217	 Ures: 	6.4112375465e-04	 Vres: 	5.5078726382e-04	 
Iteration no:	218	 Ures: 	6.3735233917e-04	 Vres: 	5.4741433725e-04	 
Iteration no:	219	 Ures: 	6.3363294569e-04	 Vres: 	5.4412603553e-04	 
Iteration no:	220	 Ures: 	6.2995214136e-04	 Vres: 	5.4092956379e-04	 
